"commit"	"val_bpb"	"memory_gb"	"status"	"description"	"device_batch"	"warmdown"	"window"	"mlp"	"gqa"	"partial_rope"	"rope_base"	"value_embeddings"	"residual_scalars"	"qkv_bias"	"optimizer_vector_fix"
"7ccb112"	"0.000000"	"0.0"	"crash"	"baseline run failed: uv/python missing"	"128"	"0.5"	"SSSL"	"ReGLU2"	"1:1"	"no"	"10000"	"on"	"learned"	"off"	"off"
"3949d45"	"0.001861"	"11.6"	"keep"	"reduce device batch size to 16 (OOM fix, first successful run)"	"16"	"0.5"	"SSSL"	"ReGLU2"	"1:1"	"no"	"10000"	"on"	"learned"	"off"	"off"
"e28371e"	"0.001677"	"22.6"	"discard"	"WINDOW_PATTERN SSSS (fully sliding attention)"	"32"	"0.5"	"SSSS"	"ReGLU2"	"1:1"	"no"	"10000"	"on"	"learned"	"off"	"off"
"45e43b4"	"0.001579"	"22.6"	"keep"	"increase device batch size to 32 for higher throughput"	"32"	"0.5"	"SSSL"	"ReGLU2"	"1:1"	"no"	"10000"	"on"	"learned"	"off"	"off"
"d8444c6"	"0.001440"	"22.6"	"keep"	"reduce warmdown ratio to 0.3"	"32"	"0.3"	"SSSL"	"ReGLU2"	"1:1"	"no"	"10000"	"on"	"learned"	"off"	"off"
"5093c95"	"0.001440"	"22.6"	"discard"	"reduce warmdown ratio to 0.2 (tie, no gain)"	"32"	"0.2"	"SSSL"	"ReGLU2"	"1:1"	"no"	"10000"	"on"	"learned"	"off"	"off"
"d1c152b"	"0.001395"	"19.9"	"keep"	"switch MLP to parameter-matched SwiGLU"	"32"	"0.3"	"SSSL"	"SwiGLU"	"1:1"	"no"	"10000"	"on"	"learned"	"off"	"off"
"ea6dc45"	"0.001456"	"19.9"	"discard"	"GeGLU gate activation (worse than SwiGLU)"	"32"	"0.3"	"SSSL"	"GeGLU"	"1:1"	"no"	"10000"	"on"	"learned"	"off"	"off"
"f17fb6d"	"0.000000"	"0.0"	"crash"	"GQA 2:1 attempt crashed due fallback head-repeat bug"	"32"	"0.3"	"SSSL"	"SwiGLU"	"2:1"	"no"	"10000"	"on"	"learned"	"off"	"off"
"22bb1a0"	"0.001434"	"19.5"	"discard"	"GQA 2:1 with fallback fix (faster/lower VRAM, but worse val_bpb)"	"32"	"0.3"	"SSSL"	"SwiGLU"	"2:1"	"no"	"10000"	"on"	"learned"	"off"	"off"
"33afcee"	"0.001380"	"19.2"	"keep"	"GQA 4:1 (n_kv_head=n_head//4) with SwiGLU"	"32"	"0.3"	"SSSL"	"SwiGLU"	"4:1"	"no"	"10000"	"on"	"learned"	"off"	"off"
"86eeb43"	"0.001378"	"19.2"	"keep"	"Partial RoPE 50% on top of SwiGLU + GQA 4:1"	"32"	"0.3"	"SSSL"	"SwiGLU"	"4:1"	"yes"	"10000"	"on"	"learned"	"off"	"off"
"9c5066b"	"0.001356"	"19.2"	"keep"	"Increase RoPE base to 50000 on current best stack"	"32"	"0.3"	"SSSL"	"SwiGLU"	"4:1"	"yes"	"50000"	"on"	"learned"	"off"	"off"
"aa1d568"	"0.000000"	"0.0"	"crash"	"VE ablation commit had syntax error"	"32"	"0.3"	"SSSL"	"SwiGLU"	"4:1"	"yes"	"50000"	"off"	"learned"	"off"	"off"
"a6042b4"	"0.001536"	"19.1"	"discard"	"Disable value embeddings (significant regression)"	"32"	"0.3"	"SSSL"	"SwiGLU"	"4:1"	"yes"	"50000"	"off"	"learned"	"off"	"off"
"fb6619c"	"0.001527"	"18.7"	"discard"	"Ablate learned residual scalars (regression despite faster throughput)"	"32"	"0.3"	"SSSL"	"SwiGLU"	"4:1"	"yes"	"50000"	"on"	"fixed_1_0"	"off"	"off"
"91dde11"	"0.001389"	"19.2"	"discard"	"confirmation rerun of best stack (regression vs 0.001356 best)"	"32"	"0.3"	"SSSL"	"SwiGLU"	"4:1"	"yes"	"50000"	"on"	"learned"	"off"	"off"
"2cd3b1c"	"0.001372"	"19.2"	"discard"	"Set FINAL_LR_FRAC=0.05 (slightly worse than best)"	"32"	"0.3"	"SSSL"	"SwiGLU"	"4:1"	"yes"	"50000"	"on"	"learned"	"off"	"off"
"db62f1b"	"0.001692"	"19.2"	"discard"	"Add warmup ratio 0.02 (major regression)"	"32"	"0.3"	"SSSL"	"SwiGLU"	"4:1"	"yes"	"50000"	"on"	"learned"	"off"	"off"
"e0454ff"	"0.000000"	"0.0"	"crash"	"Attention bias run crashed: 1D bias params sent to Muon"	"32"	"0.3"	"SSSL"	"SwiGLU"	"4:1"	"yes"	"50000"	"on"	"learned"	"on"	"off"
"38745fc"	"0.001452"	"19.2"	"discard"	"Attention bias (QKV) with optimizer fix; regression"	"32"	"0.3"	"SSSL"	"SwiGLU"	"4:1"	"yes"	"50000"	"on"	"learned"	"on"	"on"
"14cfec8"	"0.001395"	"19.2"	"discard"	"Increase RoPE base to 100000 (worse than 50000)"	"32"	"0.3"	"SSSL"	"SwiGLU"	"4:1"	"yes"	"100000"	"on"	"learned"	"off"	"on"
"a18e376"	"0.001383"	"19.2"	"discard"	"Current HEAD confirmation run (no improvement over 0.001356)"	"32"	"0.3"	"SSSL"	"SwiGLU"	"4:1"	"yes"	"50000"	"on"	"learned"	"off"	"on"
